IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
CM_03,Number of neonatal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2024,true,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,31481,,,24960,,39752,31 481 [24 960-39 752],,,EN,2026-08-04T21:00:00.000Z
CM_03,Number of neonatal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2023,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,31638,,,25672,,39024,31 638 [25 672-39 024],,,EN,2026-08-04T21:00:00.000Z
CM_03,Number of neonatal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,31759,,,26430,,38319,31 759 [26 430-38 319],,,EN,2026-08-04T21:00:00.000Z
CM_03,Number of neonatal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,31912,,,27137,,37679,31 912 [27 137-37 679],,,EN,2026-08-04T21:00:00.000Z
CM_03,Number of neonatal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,31924,,,27606,,37018,31 924 [27 606-37 018],,,EN,2026-08-04T21:00:00.000Z
CM_03,Number of neonatal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,32233,,,28253,,36923,32 233 [28 253-36 923],,,EN,2026-08-04T21:00:00.000Z
CM_03,Number of neonatal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2018,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,32914,,,29041,,37423,32 914 [29 041-37 423],,,EN,2026-08-04T21:00:00.000Z
CM_03,Number of neonatal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2017,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,33247,,,29520,,37571,33 247 [29 520-37 571],,,EN,2026-08-04T21:00:00.000Z
CM_03,Number of neonatal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,33548,,,29898,,37742,33 548 [29 898-37 742],,,EN,2026-08-04T21:00:00.000Z
CM_03,Number of neonatal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2015,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,33810,,,30166,,37909,33 810 [30 166-37 909],,,EN,2026-08-04T21:00:00.000Z
CM_03,Number of neonatal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2014,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,33870,,,30299,,37893,33 870 [30 299-37 893],,,EN,2026-08-04T21:00:00.000Z
CM_03,Number of neonatal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2013,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,34034,,,30523,,37938,34 034 [30 523-37 938],,,EN,2026-08-04T21:00:00.000Z
