IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MORT_100,"Number of deaths in children aged <5 years, by cause",numeric,AFR,Africa,Country,KEN,Kenya,Year,2021,true,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Diarrhoeal diseases,CHILDCAUSE_CH3,,,,210.8,,,,,,210.8,,,EN,2023-11-19T21:00:00.000Z
MORT_100,"Number of deaths in children aged <5 years, by cause",numeric,AFR,Africa,Country,KEN,Kenya,Year,2021,true,Sex,Both sexes,SEX_BTSX,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Diarrhoeal diseases,CHILDCAUSE_CH3,,,,3543,,,,,,3542.8,,,EN,2023-11-19T21:00:00.000Z
MORT_100,"Number of deaths in children aged <5 years, by cause",numeric,AFR,Africa,Country,KEN,Kenya,Year,2021,true,Sex,Both sexes,SEX_BTSX,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,Diarrhoeal diseases,CHILDCAUSE_CH3,,,,3754,,,,,,3754,,,EN,2024-03-24T21:00:00.000Z
MORT_100,"Number of deaths in children aged <5 years, by cause",numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Diarrhoeal diseases,CHILDCAUSE_CH3,,,,219.6,,,,,,219.6,,,EN,2023-11-19T21:00:00.000Z
MORT_100,"Number of deaths in children aged <5 years, by cause",numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Diarrhoeal diseases,CHILDCAUSE_CH3,,,,3795,,,,,,3795.4,,,EN,2023-11-19T21:00:00.000Z
MORT_100,"Number of deaths in children aged <5 years, by cause",numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,Diarrhoeal diseases,CHILDCAUSE_CH3,,,,4015,,,,,,4015,,,EN,2024-03-24T21:00:00.000Z
MORT_100,"Number of deaths in children aged <5 years, by cause",numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Diarrhoeal diseases,CHILDCAUSE_CH3,,,,237,,,,,,237.0,,,EN,2023-11-19T21:00:00.000Z
MORT_100,"Number of deaths in children aged <5 years, by cause",numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,false,Sex,Both sexes,SEX_BTSX,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Diarrhoeal diseases,CHILDCAUSE_CH3,,,,3961,,,,,,3961.3,,,EN,2023-11-19T21:00:00.000Z
MORT_100,"Number of deaths in children aged <5 years, by cause",numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,false,Sex,Both sexes,SEX_BTSX,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,Diarrhoeal diseases,CHILDCAUSE_CH3,,,,4198,,,,,,4198,,,EN,2024-03-24T21:00:00.000Z
MORT_100,"Number of deaths in children aged <5 years, by cause",numeric,AFR,Africa,Country,KEN,Kenya,Year,2018,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Diarrhoeal diseases,CHILDCAUSE_CH3,,,,264,,,,,,264.0,,,EN,2023-11-19T21:00:00.000Z
