IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000014,Stillbirth rate (per 1000 total births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2023,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,16.26,,,15.29,,17.39,16.3 [15.3-17.4],,,EN,2025-04-15T21:00:00.000Z
WHOSIS_000014,Stillbirth rate (per 1000 total births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,17.04,,,16.2,,17.98,17.0 [16.2-18.0],,,EN,2025-04-15T21:00:00.000Z
WHOSIS_000014,Stillbirth rate (per 1000 total births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,18.12,,,17.23,,19.12,18.1 [17.2-19.1],,,EN,2025-04-15T21:00:00.000Z
WHOSIS_000014,Stillbirth rate (per 1000 total births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,19.03,,,18.04,,20.03,19.0 [18.0-20.0],,,EN,2025-04-15T21:00:00.000Z
WHOSIS_000014,Stillbirth rate (per 1000 total births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,19.47,,,18.45,,20.47,19.5 [18.4-20.5],,,EN,2025-04-15T21:00:00.000Z
WHOSIS_000014,Stillbirth rate (per 1000 total births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2018,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,19.68,,,18.43,,20.86,19.7 [18.4-20.9],,,EN,2025-04-15T21:00:00.000Z
WHOSIS_000014,Stillbirth rate (per 1000 total births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2017,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,19.5,,,17.7,,21.41,19.5 [17.7-21.4],,,EN,2025-04-15T21:00:00.000Z
WHOSIS_000014,Stillbirth rate (per 1000 total births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,19.33,,,17.13,,21.77,19.3 [17.1-21.8],,,EN,2025-04-15T21:00:00.000Z
WHOSIS_000014,Stillbirth rate (per 1000 total births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2015,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,19.29,,,16.74,,22.2,19.3 [16.7-22.2],,,EN,2025-04-15T21:00:00.000Z
WHOSIS_000014,Stillbirth rate (per 1000 total births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2014,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,19.24,,,16.47,,22.49,19.2 [16.5-22.5],,,EN,2025-04-15T21:00:00.000Z
