IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2025,true,Sex,Male,SEX_MLE,,,,,,,,,,0.17,,,0.12,,0.25,0.17 [0.12 – 0.25],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2025,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.25,,,0.17,,0.36,0.25 [0.17 – 0.36],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2025,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.32,,,0.22,,0.48,0.32 [0.22 – 0.48],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2024,false,Sex,Male,SEX_MLE,,,,,,,,,,0.22,,,0.16,,0.32,0.22 [0.16 – 0.32],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2024,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.33,,,0.22,,0.48,0.33 [0.22 – 0.48],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2024,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.43,,,0.29,,0.63,0.43 [0.29 – 0.63],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2023,false,Sex,Male,SEX_MLE,,,,,,,,,,0.23,,,0.16,,0.35,0.23 [0.16 – 0.35],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2023,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.35,,,0.23,,0.52,0.35 [0.23 – 0.52],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2023,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.46,,,0.31,,0.69,0.46 [0.31 – 0.69],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Sex,Male,SEX_MLE,,,,,,,,,,0.32,,,0.24,,0.47,0.32 [0.24 – 0.47],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.47,,,0.34,,0.69,0.47 [0.34 – 0.69],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.62,,,0.44,,0.91,0.62 [0.44 – 0.91],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Sex,Male,SEX_MLE,,,,,,,,,,0.34,,,0.26,,0.51,0.34 [0.26 – 0.51],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.49,,,0.36,,0.73,0.49 [0.36 – 0.73],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.65,,,0.47,,0.96,0.65 [0.47 – 0.96],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Sex,Male,SEX_MLE,,,,,,,,,,0.38,,,0.28,,0.54,0.38 [0.28 – 0.54],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.55,,,0.4,,0.8,0.55 [0.40 – 0.80],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.72,,,0.52,,1,0.72 [0.52 – 1.00],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2015,false,Sex,Male,SEX_MLE,,,,,,,,,,0.88,,,0.73,,1.2,0.88 [0.73 – 1.20],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2015,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.2,,,1,,1.6,1.20 [1.00 – 1.60],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2015,false,Sex,Female,SEX_FMLE,,,,,,,,,,1.5,,,1.3,,2,1.50 [1.30 – 2.00],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,1.6,,,1.4,,2,1.60 [1.40 – 2.00],,,EN,2026-07-30T21:00:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,KEN,Kenya,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,2,,,1.8,,2.5,2.00 [1.80 – 2.50],,,EN,2026-07-30T21:00:00.000Z
