IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),text,AFR,Africa,Country,KEN,Kenya,Year,2024,true,,,,,,,,,,,,,74.17,,,37.31,,131,74.17 [37.31-131.02],,,EN,2025-12-18T21:00:00.000Z
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),text,AFR,Africa,Country,KEN,Kenya,Year,2023,false,,,,,,,,,,,,,73.77,,,37.32,,132.9,73.77 [37.32-132.86],,,EN,2025-12-18T21:00:00.000Z
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,,,,,,,,,,,,,82.09,,,44.42,,140.1,82.09 [44.42-140.06],,,EN,2025-12-18T21:00:00.000Z
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,,,,,,,,,,,,,88.69,,,58.34,,129.9,88.69 [58.34-129.85],,,EN,2025-12-18T21:00:00.000Z
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),text,AFR,Africa,Country,KEN,Kenya,Year,2020,false,,,,,,,,,,,,,85,,,63.79,,110.6,85.00 [63.79-110.61],,,EN,2025-12-18T21:00:00.000Z
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),text,AFR,Africa,Country,KEN,Kenya,Year,2019,false,,,,,,,,,,,,,71.67,,,52.87,,94.18,71.67 [52.87-94.18],,,EN,2025-12-18T21:00:00.000Z
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),text,AFR,Africa,Country,KEN,Kenya,Year,2018,false,,,,,,,,,,,,,74.15,,,53.36,,99.09,74.15 [53.36-99.09],,,EN,2025-12-18T21:00:00.000Z
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),text,AFR,Africa,Country,KEN,Kenya,Year,2017,false,,,,,,,,,,,,,76.85,,,55.22,,104.5,76.85 [55.22-104.53],,,EN,2025-12-18T21:00:00.000Z
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),text,AFR,Africa,Country,KEN,Kenya,Year,2016,false,,,,,,,,,,,,,77.26,,,55.28,,106.3,77.26 [55.28-106.26],,,EN,2025-12-18T21:00:00.000Z
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),text,AFR,Africa,Country,KEN,Kenya,Year,2015,false,,,,,,,,,,,,,81.8,,,59.78,,108.7,81.80 [59.78-108.69],,,EN,2025-12-18T21:00:00.000Z
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),text,AFR,Africa,Country,KEN,Kenya,Year,2014,false,,,,,,,,,,,,,84.43,,,62.97,,111.1,84.43 [62.97-111.09],,,EN,2025-12-18T21:00:00.000Z
