IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,KEN,Kenya,Year,2023,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,12.41,,,8.64,,17.27,12.41 [8.64-17.27],,,EN,2026-05-07T21:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,KEN,Kenya,Year,2023,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,17.35,,,12.08,,25.33,17.35 [12.08-25.33],,,EN,2026-05-07T21:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,KEN,Kenya,Year,2023,true,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,17.46,,,11.14,,27.28,17.46 [11.14-27.28],,,EN,2026-05-07T21:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,KEN,Kenya,Year,2023,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,18.19,,,12.42,,27.09,18.19 [12.42-27.09],,,EN,2026-05-07T21:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,KEN,Kenya,Year,2023,true,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,18.82,,,12.61,,32.95,18.82 [12.61-32.95],,,EN,2026-05-07T21:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,12.98,,,9.03,,18.15,12.98 [9.03-18.15],,,EN,2026-05-07T21:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,17.98,,,11.48,,28.15,17.98 [11.48-28.15],,,EN,2026-05-07T21:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,18.01,,,12.42,,26.43,18.01 [12.42-26.43],,,EN,2026-05-07T21:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,18.88,,,12.83,,28.16,18.88 [12.83-28.16],,,EN,2026-05-07T21:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,19.6,,,13.11,,35,19.60 [13.11-35.00],,,EN,2026-05-07T21:00:00.000Z
