IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2024,true,,,,,,,,,,,,,207,,,109,,339,207 [109-339],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2023,false,,,,,,,,,,,,,214,,,118,,344,214 [118-344],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,,,,,,,,,,,,,238,,,136,,375,238 [136-375],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,,,,,,,,,,,,,247,,,145,,377,247 [145-377],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2020,false,,,,,,,,,,,,,248,,,150,,377,248 [150-377],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2019,false,,,,,,,,,,,,,267,,,163,,396,267 [163-396],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2018,false,,,,,,,,,,,,,292,,,170,,446,292 [170-446],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2017,false,,,,,,,,,,,,,319,,,175,,505,319 [175-505],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2016,false,,,,,,,,,,,,,348,,,179,,573,348 [179-573],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2015,false,,,,,,,,,,,,,380,,,182,,651,380 [182-651],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2014,false,,,,,,,,,,,,,423,,,183,,761,423 [183-761],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2013,false,,,,,,,,,,,,,443,,,182,,816,443 [182-816],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2012,false,,,,,,,,,,,,,471,,,181,,897,471 [181-897],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2011,false,,,,,,,,,,,,,506,,,177,,1000,506 [177-1000],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2010,false,,,,,,,,,,,,,531,,,174,,1080,531 [174-1080],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2009,false,,,,,,,,,,,,,566,,,169,,1200,566 [169-1200],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2008,false,,,,,,,,,,,,,564,,,169,,1190,564 [169-1190],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2007,false,,,,,,,,,,,,,618,,,159,,1380,618 [159-1380],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2006,false,,,,,,,,,,,,,646,,,153,,1490,646 [153-1490],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2005,false,,,,,,,,,,,,,630,,,156,,1420,630 [156-1420],,,EN,2025-11-10T21:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,KEN,Kenya,Year,2004,false,,,,,,,,,,,,,634,,,155,,1440,634 [155-1440],,,EN,2025-11-10T21:00:00.000Z
