IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2023,true,,,,,,,,,,,,,57,,,,,,57,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,,,,,,,,,,,,,57,,,,,,57,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,,,,,,,,,,,,,53,,,,,,53,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2020,false,,,,,,,,,,,,,49,,,,,,49,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2019,false,,,,,,,,,,,,,52,,,,,,52,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2018,false,,,,,,,,,,,,,54,,,,,,54,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2017,false,,,,,,,,,,,,,56,,,,,,56,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2016,false,,,,,,,,,,,,,55,,,,,,55,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2015,false,,,,,,,,,,,,,53,,,,,,53,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2014,false,,,,,,,,,,,,,53,,,,,,53,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2013,false,,,,,,,,,,,,,53,,,,,,53,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2012,false,,,,,,,,,,,,,54,,,,,,54,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2011,false,,,,,,,,,,,,,52,,,,,,52,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2010,false,,,,,,,,,,,,,46,,,,,,46,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2009,false,,,,,,,,,,,,,45,,,,,,45,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2008,false,,,,,,,,,,,,,44,,,,,,44,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2007,false,,,,,,,,,,,,,43,,,,,,43,,,EN,2025-12-04T21:00:00.000Z
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1),text,AFR,Africa,Country,KEN,Kenya,Year,2006,false,,,,,,,,,,,,,41,,,,,,41,,,EN,2025-12-04T21:00:00.000Z
