IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2025,true,,,,,,,,,,,,,81,,,,,,81,,,EN,2026-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2024,false,,,,,,,,,,,,,76,,,,,,76,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2023,false,,,,,,,,,,,,,76,,,,,,76,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2022,false,,,,,,,,,,,,,70,,,,,,70,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2021,false,,,,,,,,,,,,,71,,,,,,71,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,false,,,,,,,,,,,,,67,,,,,,67,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,false,,,,,,,,,,,,,60,,,,,,60,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2018,false,,,,,,,,,,,,,53,,,,,,53,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2017,false,,,,,,,,,,,,,41,,,,,,41,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,false,,,,,,,,,,,,,35,,,,,,35,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2015,false,,,,,,,,,,,,,28,,,,,,28,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2014,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2013,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2012,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2011,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2010,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2009,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2008,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2007,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2006,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2005,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2004,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2003,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2002,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2001,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2000,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
