IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2025,true,,,,,,,,,,,,,87,,,,,,87,,,EN,2026-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2024,false,,,,,,,,,,,,,89,,,,,,89,,,EN,2025-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2023,false,,,,,,,,,,,,,91,,,,,,91,,,EN,2025-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2022,false,,,,,,,,,,,,,93,,,,,,93,,,EN,2025-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2021,false,,,,,,,,,,,,,94,,,,,,94,,,EN,2025-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,false,,,,,,,,,,,,,92,,,,,,92,,,EN,2025-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,false,,,,,,,,,,,,,93,,,,,,93,,,EN,2025-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2018,false,,,,,,,,,,,,,89,,,,,,89,,,EN,2025-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2017,false,,,,,,,,,,,,,78,,,,,,78,,,EN,2025-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,false,,,,,,,,,,,,,83,,,,,,83,,,EN,2025-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2015,false,,,,,,,,,,,,,80,,,,,,80,,,EN,2025-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2014,false,,,,,,,,,,,,,84,,,,,,84,,,EN,2025-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2013,false,,,,,,,,,,,,,77,,,,,,77,,,EN,2025-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2012,false,,,,,,,,,,,,,82,,,,,,82,,,EN,2025-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2011,false,,,,,,,,,,,,,85,,,,,,85,,,EN,2025-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2010,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2009,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
PCV3,Pneumococcal conjugate second or third-dose vaccines (PCVc) immunization coverage by the locally recommended age (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2008,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
