IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
VACCINECOVERAGE_IPV1,Inactivated first-dose polio vaccine (IPV1) immunization coverage among 1-year-olds (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2025,true,,,,,,,,,,,,,86,,,,,,86,,,EN,2026-07-13T21:00:00.000Z
VACCINECOVERAGE_IPV1,Inactivated first-dose polio vaccine (IPV1) immunization coverage among 1-year-olds (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2024,false,,,,,,,,,,,,,88,,,,,,88,,,EN,2026-07-13T21:00:00.000Z
VACCINECOVERAGE_IPV1,Inactivated first-dose polio vaccine (IPV1) immunization coverage among 1-year-olds (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2023,false,,,,,,,,,,,,,92,,,,,,92,,,EN,2026-07-13T21:00:00.000Z
VACCINECOVERAGE_IPV1,Inactivated first-dose polio vaccine (IPV1) immunization coverage among 1-year-olds (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2022,false,,,,,,,,,,,,,92,,,,,,92,,,EN,2026-07-13T21:00:00.000Z
VACCINECOVERAGE_IPV1,Inactivated first-dose polio vaccine (IPV1) immunization coverage among 1-year-olds (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2021,false,,,,,,,,,,,,,94,,,,,,94,,,EN,2026-07-13T21:00:00.000Z
VACCINECOVERAGE_IPV1,Inactivated first-dose polio vaccine (IPV1) immunization coverage among 1-year-olds (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,false,,,,,,,,,,,,,92,,,,,,92,,,EN,2026-07-13T21:00:00.000Z
VACCINECOVERAGE_IPV1,Inactivated first-dose polio vaccine (IPV1) immunization coverage among 1-year-olds (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,false,,,,,,,,,,,,,88,,,,,,88,,,EN,2026-07-13T21:00:00.000Z
VACCINECOVERAGE_IPV1,Inactivated first-dose polio vaccine (IPV1) immunization coverage among 1-year-olds (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2018,false,,,,,,,,,,,,,86,,,,,,86,,,EN,2026-07-13T21:00:00.000Z
VACCINECOVERAGE_IPV1,Inactivated first-dose polio vaccine (IPV1) immunization coverage among 1-year-olds (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2017,false,,,,,,,,,,,,,78,,,,,,78,,,EN,2026-07-13T21:00:00.000Z
VACCINECOVERAGE_IPV1,Inactivated first-dose polio vaccine (IPV1) immunization coverage among 1-year-olds (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,false,,,,,,,,,,,,,70,,,,,,70,,,EN,2026-07-13T21:00:00.000Z
VACCINECOVERAGE_IPV1,Inactivated first-dose polio vaccine (IPV1) immunization coverage among 1-year-olds (%) (WUENIC),numeric,AFR,Africa,Country,KEN,Kenya,Year,2015,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2026-07-13T21:00:00.000Z
