IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2025,true,,,,,,,,,,,,,79,,,,,,79,,,EN,2026-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2024,false,,,,,,,,,,,,,82,,,,,,82,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2023,false,,,,,,,,,,,,,71,,,,,,71,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2022,false,,,,,,,,,,,,,29,,,,,,29,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2021,false,,,,,,,,,,,,,95,,,,,,95,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,false,,,,,,,,,,,,,92,,,,,,92,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,false,,,,,,,,,,,,,92,,,,,,92,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2018,false,,,,,,,,,,,,,84,,,,,,84,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2017,false,,,,,,,,,,,,,67,,,,,,67,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,false,,,,,,,,,,,,,74,,,,,,74,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2015,false,,,,,,,,,,,,,66,,,,,,66,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2014,false,,,,,,,,,,,,,19,,,,,,19,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2013,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2012,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2011,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2010,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2009,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2008,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2007,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2006,false,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-07-13T21:00:00.000Z
