IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2023,true,,,,,,,,,,,,,378.8,,,267,,546.8,379 [267 – 547],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2023,true,,,,,,,,,,,,,5682,,,4006,,8202,5682 [4006-8202],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,,,,,,,,,,,,,388.4,,,271.1,,556.4,388 [271 – 556],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2022,false,,,,,,,,,,,,,5762,,,4021,,8254,5762 [4021-8254],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,,,,,,,,,,,,,420.9,,,297.9,,589.9,421 [298 – 590],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2021,false,,,,,,,,,,,,,6184,,,4377,,8669,6184 [4377-8669],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2020,false,,,,,,,,,,,,,421.2,,,304.9,,587.5,421 [305 – 588],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,false,,,,,,,,,,,,,6110,,,4423,,8523,6110 [4423-8523],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2019,false,,,,,,,,,,,,,414.9,,,307,,566,415 [307 – 566],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,false,,,,,,,,,,,,,5996,,,4438,,8180,5996 [4438-8180],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2018,false,,,,,,,,,,,,,428,,,321,,575.9,428 [321 – 576],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2018,false,,,,,,,,,,,,,6240,,,4680,,8396,6240 [4680-8396],,,EN,2025-04-09T21:00:00.000Z
