IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AFR,Africa,Country,KEN,Kenya,Year,2023,true,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.62,,,,,,0.6,,Registration National Statistics & WPP2024,EN,2025-05-05T21:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AFR,Africa,Country,KEN,Kenya,Year,2023,true,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,45.81,,,,,,45.8,,Registration National Statistics & WPP2024,EN,2025-05-05T21:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.73,,,,,,0.7,,Registration National Statistics & WPP2024,EN,2025-05-05T21:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,46.09,,,,,,46.1,,Registration National Statistics & WPP2024,EN,2025-05-05T21:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.97,,,,,,1.0,,Registration National Statistics & WPP2024,EN,2025-05-05T21:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,51.33,,,,,,51.3,,Registration National Statistics & WPP2024,EN,2025-05-05T21:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.65,,,,,,0.7,,Registration National Statistics & WPP2024,EN,2025-05-05T21:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,43.59,,,,,,43.6,,Registration National Statistics & WPP2024,EN,2025-05-05T21:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AFR,Africa,Country,KEN,Kenya,Year,2019,false,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_YEARS10-14,,,,,,,0.79,,,,,,0.8,,Registration National Statistics & WPP2024,EN,2025-05-05T21:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women),text,AFR,Africa,Country,KEN,Kenya,Year,2019,false,Sex,Female,SEX_FMLE,Age Group,15-19 years,AGEGROUP_YEARS15-19,,,,,,,51.01,,,,,,51.0,,Registration National Statistics & WPP2024,EN,2025-05-05T21:00:00.000Z
