IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGFPALL,Women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (%),text,AFR,Africa,Country,KEN,Kenya,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,15-49 years,AGEGROUP_YEARS15-49,,,,,,,79.3,,,,,,79.3,,2022.    Kenya 2022 Demographic and Health Survey,EN,2025-05-05T21:00:00.000Z
SDGFPALL,Women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (%),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Sex,Female,SEX_FMLE,Age Group,15-49 years,AGEGROUP_YEARS15-49,,,,,,,75.6,,,,,,75.6,,2021.    Kenya 2021 PMA Survey Phase 3,EN,2025-05-05T21:00:00.000Z
SDGFPALL,Women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (%),text,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Sex,Female,SEX_FMLE,Age Group,15-49 years,AGEGROUP_YEARS15-49,,,,,,,77.1,,,,,,77.1,,2020.    Kenya 2020 PMA Survey Phase 2,EN,2025-05-05T21:00:00.000Z
SDGFPALL,Women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (%),text,AFR,Africa,Country,KEN,Kenya,Year,2019,false,Sex,Female,SEX_FMLE,Age Group,15-49 years,AGEGROUP_YEARS15-49,,,,,,,75.1,,,,,,75.1,,2019.    Kenya 2019 PMA Survey Phase 1,EN,2025-05-05T21:00:00.000Z
SDGFPALL,Women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (%),text,AFR,Africa,Country,KEN,Kenya,Year,2018,false,Sex,Female,SEX_FMLE,Age Group,15-49 years,AGEGROUP_YEARS15-49,,,,,,,77.3,,,,,,77.3,,2018.    Kenya 2018 PMA2020 Round 7,EN,2025-05-05T21:00:00.000Z
SDGFPALL,Women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (%),text,AFR,Africa,Country,KEN,Kenya,Year,2017,false,Sex,Female,SEX_FMLE,Age Group,15-49 years,AGEGROUP_YEARS15-49,,,,,,,76,,,,,,76,,2017.    Kenya 2017 PMA2020 Round 6,EN,2025-05-05T21:00:00.000Z
SDGFPALL,Women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (%),text,AFR,Africa,Country,KEN,Kenya,Year,2016,false,Sex,Female,SEX_FMLE,Age Group,15-49 years,AGEGROUP_YEARS15-49,,,,,,,75.2,,,,,,75.2,,2016.    Kenya 2016 PMA2020 Round 5,EN,2025-05-05T21:00:00.000Z
SDGFPALL,Women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (%),text,AFR,Africa,Country,KEN,Kenya,Year,2015,false,Sex,Female,SEX_FMLE,Age Group,15-49 years,AGEGROUP_YEARS15-49,,,,,,,73.4,,,,,,73.4,,2015.    Kenya 2015 PMA2020 Round 3,EN,2025-05-05T21:00:00.000Z
SDGFPALL,Women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (%),text,AFR,Africa,Country,KEN,Kenya,Year,2014,false,Sex,Female,SEX_FMLE,Age Group,15-49 years,AGEGROUP_YEARS15-49,,,,,,,70.7,,,,,,70.7,,2014.    Kenya 2014 Demographic and Health Survey,EN,2025-05-05T21:00:00.000Z
SDGFPALL,Women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (%),text,AFR,Africa,Country,KEN,Kenya,Year,2008,false,Sex,Female,SEX_FMLE,Age Group,15-49 years,AGEGROUP_YEARS15-49,,,,,,,55.9,,,,,,55.9,,2008-2009.    Kenya 2008-2009 Demographic and Health Survey,EN,2025-05-05T21:00:00.000Z
SDGFPALL,Women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (%),text,AFR,Africa,Country,KEN,Kenya,Year,2003,false,Sex,Female,SEX_FMLE,Age Group,15-49 years,AGEGROUP_YEARS15-49,,,,,,,47.5,,,,,,47.5,,2003.    Kenya 2003 Demographic and Health Survey,EN,2025-05-05T21:00:00.000Z
