IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2024,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,55.59,,,,,,56,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2024,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,65.6,,,,,,66,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2024,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,88.89,,,,,,89,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2023,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,54.75,,,,,,55,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2023,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,64.78,,,,,,65,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2023,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,88.74,,,,,,89,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,53.9,,,,,,54,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,63.96,,,,,,64,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,88.59,,,,,,89,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,53.06,,,,,,53,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,63.14,,,,,,63,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,88.45,,,,,,88,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,52.22,,,,,,52,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,62.32,,,,,,62,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,88.3,,,,,,88,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2019,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,51.37,,,,,,51,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2019,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,61.49,,,,,,61,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2019,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,88.16,,,,,,88,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2018,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,50.53,,,,,,51,,,EN,2026-01-22T21:00:00.000Z
WSH_WATER_BASIC,Population using at least basic drinking-water services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2018,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,60.66,,,,,,61,,,EN,2026-01-22T21:00:00.000Z
