IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2024,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,27.86,,,,,,28,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2024,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,35.83,,,,,,36,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2024,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,39.25,,,,,,39,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2023,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,27.54,,,,,,28,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2023,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,35.25,,,,,,35,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2023,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,38.48,,,,,,38,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,27.22,,,,,,27,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,34.66,,,,,,35,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,37.71,,,,,,38,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,26.9,,,,,,27,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,33.98,,,,,,34,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,36.8,,,,,,37,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,26.58,,,,,,27,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,33.29,,,,,,33,,,EN,2026-01-22T21:00:00.000Z
