IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2024,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,39.7,,,,,,40,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2024,true,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,41.39,,,,,,41,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2024,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,40.88,,,,,,41,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2023,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,39.24,,,,,,39,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2023,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,40.17,,,,,,40,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2023,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,40.56,,,,,,41,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,39.45,,,,,,39,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,38.78,,,,,,39,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Residence Area Type,Rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,39.73,,,,,,40,,,EN,2026-01-22T21:00:00.000Z
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),text,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,38.32,,,,,,38,,,EN,2026-01-22T21:00:00.000Z
